■ バズ投稿 個別分析,,,,,,,,,,,
アカウント名,投稿本文,いいね数,フック,フック型,投稿構造,感情トリガー,実用性,意外性,保存動機,投稿リンク
@hareyuki_suhi,今から数秘1から33まで、全部の性格、アップします！計算方法もアップ済み。宣言通り、一切出し惜しみしてません。10年の学びと経験、全て書き切った、ぜぇぜぇ。,572,今から数秘1から33まで、全部の性格、アップします！,数字型,一言断言型,共感,高,低,高,https://www.threads.net/@hareyuki_suhi/post/DRZalnnEd7n
@osio_suuhi,数秘11は欲しいものは全部手に入れていい。遠慮する必要はない。どちらか1つなんかじゃなくて、全部獲りに行ける力をちゃんと持ってるから。,240,数秘11は欲しいものは全部手に入れていい。,数字型,一言断言型,希望,低,低,高,https://www.threads.net/@osio_suuhi/post/DXT5FupAl8l
@amane.suhi,数秘33の人は、優しいから疲れるんじゃないです。感じすぎる。気づきすぎる。背負いすぎる。だから疲れます。これ、心当たりありますか？,157,数秘33の人は、優しいから疲れるんじゃないです。,逆説型,一言断言型,共感,低,高,低,https://www.threads.net/@amane.suhi/post/DW-w5wVARVt
@fuu_trisetsu,家族にマスターナンバー（数秘11、数秘22、数秘33）の人がいるよってご家庭どのくらいいるんだろう？家族全員だよ、子どもがそうだよ、とか教えてください,245,家族にマスターナンバーの人がいるよってご家庭どのくらいいるんだろう？,質問型,一言断言型,共感,低,低,低,https://www.threads.net/@fuu_trisetsu/post/DVGTzANkudz
@ninmari_tsuduri,モノが増えやすい数秘たちあるある。数秘1・3：やりかけ・創りかけ・創った物が増える 数秘4：手に入れるまで吟味するので捨てられず増える 数秘5：前に興味持ったものが増えて行く 数秘6：人にもらうと手放しにくい 数秘8：いっぱい用意・準備が増える,198,モノが増えやすい数秘たちあるある。,あるある型,箇条書き型,共感,低,中,高,https://www.threads.net/@ninmari_tsuduri/post/C9XPw5vyctP
@soul.shiny_farmer.yuri,マスターナンバー持ってないと思ってたら２つも持ってた,394,マスターナンバー持ってないと思ってたら２つも持ってた,あるある型,一言断言型,共感,低,高,低,https://www.threads.net/@soul.shiny_farmer.yuri/post/DXHj6BmlOiQ
@cotorie_313,数秘別｜「2026年に向けて今やめると楽になること」数秘1｜人に合わせて決めること 数秘2｜我慢で保つ人間関係 数秘3｜楽しみを後回しにする癖 数秘4｜完璧じゃないと動かない癖 数秘5｜不安で止まる癖 数秘6｜頼られすぎる生き方 11｜気持ちを我慢して平気なふり 22｜大きすぎる目標で自分を追い詰める癖 33｜明るいふりをしすぎること,128,数秘別｜今やめると楽になること,数字型,箇条書き型,希望,中,低,高,https://www.threads.net/@cotorie_313/post/DR_rcveknsz
@ujon_books,この魔法の数字を覚えてほしい。ツライことも乗り越えられる。,1602,この魔法の数字を覚えてほしい。,衝撃事実型,一言断言型,驚き,低,高,低,https://www.threads.net/@ujon_books/post/DCU3fXFTZT1
@suuhi_tamashi,数秘８必見！チャンスの掴み方,178,数秘８必見！チャンスの掴み方,権威型,一言断言型,希望,低,低,低,https://www.threads.net/@suuhi_tamashi/post/DJ5TwrrT-NB
@kotone_spichan,数秘「33」フリーランスで成功する方法　それは、,120,数秘「33」フリーランスで成功する方法,数字型,問題提起→解決型,希望,高,低,中,https://www.threads.net/@kotone_spichan/post/DRBW3zTkgb2
@chika_nanami11,生年月日バラバラにして足していくと36になる人→数秘9の人。特別な使命を授かってる系かもしれません,218,生年月日バラバラにして36になる人→数秘9の人。,数字型,一言断言型,共感,低,低,低,https://www.threads.net/@chika_nanami11/post/DIpeIKYTmD_
,,,,,,,,,,,
■ フック型 集計,,,,,,,,,,,
フック型,件数,割合,代表フック例（いいね順）,,,,,,,
数字型,7件,64%,今から数秘1から33まで、全部の性格、アップします！,,,,,,,
あるある型,2件,18%,モノが増えやすい数秘たちあるある。,,,,,,,
逆説型,1件,9%,数秘33の人は、優しいから疲れるんじゃないです。,,,,,,,
衝撃事実型,1件,9%,この魔法の数字を覚えてほしい。,,,,,,,
,,,,,,,,,,,
■ 投稿構造 集計,,,,,,,,,,,
構造,件数,割合,特徴,,,,,,,
一言断言型,8件,73%,短く・強く・刺さる。共感と希望が多い。,,,,,,,
箇条書き型,2件,18%,保存動機が高い。全数秘まとめ型との相性◎,,,,,,,
問題提起→解決型,1件,9%,「○○する方法」型。実用性訴求に向く。,,,,,,,
,,,,,,,,,,,
■ バズ要因まとめ,,,,,,,,,,,
最も多い感情トリガー,共感（6件/55%）,,,,,,,,,,
2番目の感情トリガー,希望（4件/36%）,,,,,,,,,,
共通する特徴,「特定の数秘ナンバーに絞った共感・断言型」がバズりやすい。短文＋余白＋問いかけが拡散を生む。,,,,,,,,,,
,,,,,,,,,,,
■ 使えるテンプレート10選,,,,,,,,,,,
No,タイプ,テンプレート,使用例（数秘テーマ）,,,,,,,
1,フック（断言）,数秘〇〇は〇〇していい。遠慮しなくていい。,数秘6はもっと自分を甘やかしていい。遠慮しなくていい。,,,,,,,
2,フック（逆説）,数秘〇〇が〇〇なのは△△だから。,数秘4が完璧主義なのは愛が深いから。,,,,,,,
3,フック（あるある）,〇〇な数秘たちあるある。,感情を溜め込む数秘たちあるある。,,,,,,,
4,フック（衝撃）,この〇〇を知ってほしい。△△が変わる。,この数秘の法則を知ってほしい。人生の見え方が変わる。,,,,,,,
5,フック（質問）,数秘〇〇の人〇〇ってご存知ですか？,数秘2の人気を遣いすぎて疲れてませんか？,,,,,,,
6,本文展開（全数秘まとめ）,数秘1｜〇〇　数秘2｜〇〇　数秘3｜〇〇…,数秘別｜「今すぐやめると楽になること」,,,,,,,
7,本文展開（一点深掘り）,〇〇。△△。□□。だから〇〇します。,感じすぎる。気づきすぎる。背負いすぎる。だから疲れます。,,,,,,,
8,締め（問いかけ）,これ心当たりありますか？,数秘33のあなた心当たりありますか？,,,,,,,
9,締め（自己開示誘導）,〇〇の方は教えてください,自分の数秘がわかった方は教えてください,,,,,,,
10,見出し型,数秘〇〇｜「〇〇する方法」,数秘11｜「直感を仕事に活かす方法」,,,,,,,
