アカウント名,投稿本文,いいね数,コメント数,フック,文字数,投稿リンク
@hareyuki_suhi,"今から数秘1から33まで、全部の性格、アップします！計算方法もアップ済み。宣言通り、一切出し惜しみしてません。10年の学びと経験、全て書き切った、ぜぇぜぇ。",572,,"今から数秘1から33まで、全部の性格、アップします！",60,https://www.threads.net/@hareyuki_suhi/post/DRZalnnEd7n
@osio_suuhi,"数秘11は欲しいものは全部手に入れていい。遠慮する必要はない。どちらか1つなんかじゃなくて、全部獲りに行ける力をちゃんと持ってるから。",240,,"数秘11は欲しいものは全部手に入れていい。",60,https://www.threads.net/@osio_suuhi/post/DXT5FupAl8l
@amane.suhi,"数秘33の人は、優しいから疲れるんじゃないです。感じすぎる。気づきすぎる。背負いすぎる。だから疲れます。これ、心当たりありますか？",157,,"数秘33の人は、優しいから疲れるんじゃないです。",65,https://www.threads.net/@amane.suhi/post/DW-w5wVARVt
@fuu_trisetsu,"家族にマスターナンバー（数秘11、数秘22、数秘33）の人がいるよってご家庭どのくらいいるんだろう？家族全員だよ、子どもがそうだよ、とか教えてください😌",245,102,"家族にマスターナンバー（数秘11、数秘22、数秘33）の人がいるよってご家庭どのくらいいるんだろう？",80,https://www.threads.net/@fuu_trisetsu/post/DVGTzANkudz
@ninmari_tsuduri,"モノが増えやすい数秘たちあるある。数秘1・3：やりかけ・創りかけ・創った物が増える 数秘4：手に入れるまで吟味するので捨てられず増える 数秘5：前に興味持ったものが増えて行く 数秘6：人にもらうと手放しにくい 数秘8：いっぱい用意・準備が増える",198,,"モノが増えやすい数秘たちあるある。",130,https://www.threads.net/@ninmari_tsuduri/post/C9XPw5vyctP
@soul.shiny_farmer.yuri,"マスターナンバー持ってないと思ってたら２つも持ってた🤣🤣🤣",394,,"マスターナンバー持ってないと思ってたら２つも持ってた🤣🤣🤣",30,https://www.threads.net/@soul.shiny_farmer.yuri/post/DXHj6BmlOiQ
@cotorie_313,"🌕数秘別｜「2026年に向けて今やめると楽になること」数秘1｜人に合わせて決めること 数秘2｜我慢で保つ人間関係 数秘3｜楽しみを後回しにする癖 数秘4｜完璧じゃないと動かない癖 数秘5｜不安で止まる癖 数秘6｜頼られすぎる生き方 11｜気持ちを我慢して平気なふり 22｜大きすぎる目標で自分を追い詰める癖 33｜明るいふりをしすぎること",128,,"🌕数秘別｜「2026年に向けて今やめると楽になること」",200,https://www.threads.net/@cotorie_313/post/DR_rcveknsz
@ujon_books,"この魔法の数字を覚えてほしい。ツライことも乗り越えられる。",1602,,"この魔法の数字を覚えてほしい。",30,https://www.threads.net/@ujon_books/post/DCU3fXFTZT1
@suuhi_tamashi,"数秘８必見！チャンスの掴み方",178,,"数秘８必見！チャンスの掴み方",15,https://www.threads.net/@suuhi_tamashi/post/DJ5TwrrT-NB
@kotone_spichan,"数秘「33」フリーランスで成功する方法　それは、",120,,"数秘「33」フリーランスで成功する方法",20,https://www.threads.net/@kotone_spichan/post/DRBW3zTkgb2
@chika_nanami11,"生年月日、バラバラにして足していくと36になる人、そして3＋6＝数秘9になる人。特別な使命を授かってる系かもしれません🌞✨",218,,"生年月日、バラバラにして足していくと36になる人、そして3＋6＝数秘9になる人。",60,https://www.threads.net/@chika_nanami11/post/DIpeIKYTmD_
